step,without Zealots_mean_opinion,without Zealots_mean_abs_opinion,without Zealots_non_zealot_variance,without Zealots_cluster_variance,without Zealots_negative_count,without Zealots_negative_mean,without Zealots_positive_count,without Zealots_positive_mean,without Zealots_polarization_index,without Zealots_identity_1_mean_opinion,without Zealots_identity_neg1_mean_opinion,without Zealots_identity_opinion_difference
208,-0.0388,0.3831,0.1748,0.0421,266.7,-0.3873,233.3,0.3610,35.4002,0.0126,-0.0956,0.1082
209,-0.0388,0.3832,0.1748,0.0422,266.7,-0.3873,233.3,0.3610,35.4253,0.0126,-0.0957,0.1082
210,-0.0388,0.3832,0.1748,0.0422,266.7,-0.3874,233.3,0.3611,35.4253,0.0126,-0.0957,0.1083
211,-0.0388,0.3833,0.1749,0.0422,266.7,-0.3874,233.3,0.3611,35.4253,0.0126,-0.0957,0.1083
212,-0.0388,0.3833,0.1749,0.0422,266.7,-0.3875,233.3,0.3611,35.4466,0.0126,-0.0957,0.1083
213,-0.0389,0.3833,0.1749,0.0422,266.7,-0.3875,233.3,0.3611,35.4630,0.0126,-0.0958,0.1084
214,-0.0389,0.3834,0.1749,0.0422,266.7,-0.3876,233.3,0.3611,35.4630,0.0126,-0.0958,0.1084
215,-0.0389,0.3834,0.1750,0.0422,266.7,-0.3876,233.3,0.3612,35.4683,0.0126,-0.0958,0.1084
216,-0.0389,0.3834,0.1750,0.0422,266.7,-0.3877,233.3,0.3612,35.4426,0.0126,-0.0959,0.1084
217,-0.0389,0.3835,0.1750,0.0422,266.7,-0.3877,233.3,0.3612,35.4426,0.0126,-0.0959,0.1085
218,-0.0389,0.3835,0.1750,0.0422,266.7,-0.3877,233.3,0.3612,35.4426,0.0126,-0.0959,0.1085
219,-0.0389,0.3835,0.1750,0.0422,266.7,-0.3878,233.3,0.3612,35.4594,0.0126,-0.0959,0.1085
220,-0.0390,0.3836,0.1750,0.0422,266.8,-0.3877,233.2,0.3614,35.4594,0.0126,-0.0960,0.1085
221,-0.0390,0.3836,0.1751,0.0422,266.8,-0.3877,233.2,0.3614,35.4851,0.0126,-0.0960,0.1086
222,-0.0390,0.3836,0.1751,0.0422,266.9,-0.3876,233.1,0.3615,35.4851,0.0126,-0.0960,0.1086
223,-0.0390,0.3837,0.1751,0.0422,266.9,-0.3876,233.1,0.3615,35.4851,0.0126,-0.0960,0.1086
224,-0.0390,0.3837,0.1751,0.0422,266.9,-0.3876,233.1,0.3616,35.4893,0.0126,-0.0960,0.1086
225,-0.0390,0.3837,0.1751,0.0422,266.9,-0.3877,233.1,0.3616,35.4893,0.0126,-0.0961,0.1087
226,-0.0390,0.3837,0.1751,0.0422,266.9,-0.3877,233.1,0.3616,35.4893,0.0126,-0.0961,0.1087
227,-0.0390,0.3838,0.1752,0.0422,266.9,-0.3877,233.1,0.3616,35.4893,0.0126,-0.0961,0.1087
228,-0.0390,0.3838,0.1752,0.0422,266.9,-0.3878,233.1,0.3616,35.5059,0.0126,-0.0961,0.1087
229,-0.0390,0.3838,0.1752,0.0422,266.9,-0.3878,233.1,0.3616,35.5059,0.0126,-0.0961,0.1087
230,-0.0391,0.3838,0.1752,0.0422,266.9,-0.3878,233.1,0.3616,35.5059,0.0126,-0.0961,0.1088
231,-0.0391,0.3839,0.1752,0.0422,266.9,-0.3879,233.1,0.3617,35.5059,0.0126,-0.0962,0.1088
232,-0.0391,0.3839,0.1752,0.0422,266.9,-0.3879,233.1,0.3617,35.5205,0.0126,-0.0962,0.1088
233,-0.0391,0.3839,0.1752,0.0422,266.9,-0.3879,233.1,0.3617,35.5205,0.0126,-0.0962,0.1088
234,-0.0391,0.3839,0.1753,0.0422,266.9,-0.3879,233.1,0.3617,35.5205,0.0126,-0.0962,0.1088
235,-0.0391,0.3839,0.1753,0.0422,266.9,-0.3880,233.1,0.3617,35.5205,0.0126,-0.0962,0.1088
236,-0.0391,0.3840,0.1753,0.0422,266.9,-0.3880,233.1,0.3617,35.5242,0.0126,-0.0962,0.1089
237,-0.0391,0.3840,0.1753,0.0422,267.0,-0.3878,233.0,0.3619,35.5242,0.0126,-0.0962,0.1089
238,-0.0391,0.3840,0.1753,0.0422,267.0,-0.3879,233.0,0.3619,35.5242,0.0126,-0.0962,0.1089
239,-0.0391,0.3840,0.1753,0.0422,267.0,-0.3879,233.0,0.3619,35.5242,0.0126,-0.0963,0.1089
240,-0.0391,0.3840,0.1753,0.0422,267.0,-0.3879,233.0,0.3619,35.5242,0.0126,-0.0963,0.1089
241,-0.0391,0.3841,0.1753,0.0422,267.1,-0.3878,232.9,0.3620,35.5242,0.0126,-0.0963,0.1089
242,-0.0391,0.3841,0.1753,0.0422,267.2,-0.3877,232.8,0.3622,35.5242,0.0126,-0.0963,0.1089
243,-0.0391,0.3841,0.1753,0.0422,267.2,-0.3877,232.8,0.3622,35.5041,0.0126,-0.0963,0.1090
244,-0.0391,0.3841,0.1754,0.0422,267.3,-0.3876,232.7,0.3624,35.5250,0.0127,-0.0963,0.1090
245,-0.0391,0.3841,0.1754,0.0422,267.4,-0.3875,232.6,0.3626,35.5250,0.0126,-0.0963,0.1090
246,-0.0392,0.3842,0.1754,0.0422,267.4,-0.3876,232.6,0.3626,35.5203,0.0126,-0.0963,0.1089
247,-0.0392,0.3842,0.1754,0.0422,267.6,-0.3873,232.4,0.3629,35.5203,0.0125,-0.0963,0.1089
248,-0.0392,0.3842,0.1754,0.0422,267.6,-0.3874,232.4,0.3629,35.5203,0.0125,-0.0964,0.1088
249,-0.0393,0.3842,0.1754,0.0422,267.6,-0.3874,232.4,0.3629,35.5203,0.0124,-0.0964,0.1088
250,-0.0393,0.3843,0.1754,0.0422,267.6,-0.3875,232.4,0.3629,35.5203,0.0124,-0.0964,0.1087
251,-0.0393,0.3843,0.1754,0.0422,267.6,-0.3875,232.4,0.3629,35.5203,0.0123,-0.0964,0.1087
252,-0.0393,0.3843,0.1754,0.0422,267.6,-0.3875,232.4,0.3629,35.5240,0.0123,-0.0964,0.1086
253,-0.0394,0.3844,0.1755,0.0422,267.6,-0.3876,232.4,0.3629,35.5386,0.0122,-0.0964,0.1086
254,-0.0394,0.3844,0.1755,0.0422,267.6,-0.3876,232.4,0.3629,35.5386,0.0122,-0.0964,0.1086
255,-0.0394,0.3844,0.1755,0.0422,267.6,-0.3877,232.4,0.3629,35.5386,0.0121,-0.0964,0.1085
256,-0.0394,0.3844,0.1755,0.0422,267.7,-0.3876,232.3,0.3631,35.5386,0.0121,-0.0964,0.1085
257,-0.0394,0.3845,0.1755,0.0422,267.7,-0.3876,232.3,0.3631,35.5386,0.0120,-0.0964,0.1085
258,-0.0395,0.3845,0.1755,0.0422,267.7,-0.3877,232.3,0.3631,35.5402,0.0120,-0.0964,0.1084
259,-0.0395,0.3845,0.1755,0.0422,267.7,-0.3877,232.3,0.3631,35.5402,0.0119,-0.0964,0.1084
260,-0.0395,0.3846,0.1756,0.0422,267.7,-0.3878,232.3,0.3632,35.5694,0.0119,-0.0964,0.1083
261,-0.0395,0.3846,0.1756,0.0422,267.7,-0.3878,232.3,0.3632,35.5694,0.0118,-0.0965,0.1083
262,-0.0396,0.3846,0.1756,0.0422,267.7,-0.3879,232.3,0.3632,35.5694,0.0118,-0.0965,0.1083
263,-0.0396,0.3847,0.1756,0.0422,267.7,-0.3879,232.3,0.3632,35.5694,0.0118,-0.0965,0.1082
264,-0.0396,0.3847,0.1756,0.0422,267.7,-0.3880,232.3,0.3632,35.5694,0.0117,-0.0965,0.1082
265,-0.0396,0.3847,0.1756,0.0422,267.7,-0.3880,232.3,0.3632,35.5694,0.0117,-0.0965,0.1082
266,-0.0396,0.3847,0.1756,0.0422,267.7,-0.3880,232.3,0.3632,35.5840,0.0116,-0.0965,0.1081
267,-0.0396,0.3848,0.1757,0.0422,267.7,-0.3881,232.3,0.3632,35.5840,0.0116,-0.0965,0.1081
268,-0.0397,0.3848,0.1757,0.0422,267.7,-0.3881,232.3,0.3632,35.5840,0.0116,-0.0965,0.1081
269,-0.0397,0.3848,0.1757,0.0422,267.7,-0.3882,232.3,0.3632,35.5882,0.0115,-0.0965,0.1080
270,-0.0397,0.3848,0.1757,0.0422,267.7,-0.3882,232.3,0.3632,35.5882,0.0115,-0.0965,0.1080
271,-0.0397,0.3849,0.1757,0.0422,267.7,-0.3882,232.3,0.3632,35.5882,0.0115,-0.0965,0.1080
272,-0.0397,0.3849,0.1757,0.0422,267.7,-0.3883,232.3,0.3633,35.5882,0.0114,-0.0965,0.1080
273,-0.0397,0.3849,0.1757,0.0422,267.7,-0.3883,232.3,0.3633,35.5882,0.0114,-0.0965,0.1079
274,-0.0398,0.3849,0.1758,0.0422,267.7,-0.3883,232.3,0.3633,35.5926,0.0114,-0.0965,0.1079
275,-0.0398,0.3850,0.1758,0.0422,267.8,-0.3882,232.2,0.3634,35.5926,0.0113,-0.0965,0.1079
276,-0.0398,0.3850,0.1758,0.0422,267.8,-0.3882,232.2,0.3634,35.5926,0.0113,-0.0965,0.1079
277,-0.0398,0.3850,0.1758,0.0422,267.8,-0.3882,232.2,0.3634,35.5926,0.0113,-0.0965,0.1078
278,-0.0398,0.3850,0.1758,0.0421,267.8,-0.3883,232.2,0.3634,35.6072,0.0112,-0.0965,0.1078
279,-0.0398,0.3850,0.1758,0.0421,267.8,-0.3883,232.2,0.3634,35.6072,0.0112,-0.0966,0.1078
280,-0.0398,0.3850,0.1758,0.0421,267.8,-0.3883,232.2,0.3634,35.6072,0.0112,-0.0966,0.1077
281,-0.0399,0.3851,0.1758,0.0421,267.8,-0.3884,232.2,0.3634,35.6072,0.0112,-0.0966,0.1077
282,-0.0399,0.3851,0.1758,0.0421,267.8,-0.3884,232.2,0.3634,35.6072,0.0111,-0.0966,0.1077
283,-0.0399,0.3851,0.1758,0.0421,267.8,-0.3884,232.2,0.3634,35.6217,0.0111,-0.0966,0.1077
284,-0.0399,0.3851,0.1759,0.0421,267.8,-0.3884,232.2,0.3634,35.6217,0.0111,-0.0966,0.1077
285,-0.0399,0.3851,0.1759,0.0421,267.8,-0.3885,232.2,0.3634,35.6217,0.0111,-0.0966,0.1076
286,-0.0399,0.3851,0.1759,0.0421,267.8,-0.3885,232.2,0.3634,35.6217,0.0110,-0.0966,0.1076
287,-0.0399,0.3852,0.1759,0.0421,267.8,-0.3885,232.2,0.3634,35.6217,0.0110,-0.0966,0.1076
288,-0.0399,0.3852,0.1759,0.0421,267.8,-0.3885,232.2,0.3634,35.6217,0.0110,-0.0966,0.1076
289,-0.0400,0.3852,0.1759,0.0421,267.8,-0.3886,232.2,0.3635,35.6425,0.0110,-0.0966,0.1076
290,-0.0400,0.3852,0.1759,0.0421,267.8,-0.3886,232.2,0.3635,35.6571,0.0109,-0.0966,0.1075
291,-0.0400,0.3852,0.1759,0.0421,267.8,-0.3886,232.2,0.3635,35.6571,0.0109,-0.0966,0.1075
292,-0.0400,0.3852,0.1759,0.0421,267.8,-0.3886,232.2,0.3635,35.6571,0.0109,-0.0966,0.1075
293,-0.0400,0.3852,0.1759,0.0421,267.8,-0.3886,232.2,0.3635,35.6571,0.0109,-0.0966,0.1075
294,-0.0400,0.3853,0.1759,0.0421,267.8,-0.3887,232.2,0.3635,35.6615,0.0109,-0.0966,0.1075
295,-0.0400,0.3853,0.1760,0.0421,267.8,-0.3887,232.2,0.3635,35.6615,0.0108,-0.0966,0.1075
296,-0.0400,0.3853,0.1760,0.0421,267.8,-0.3887,232.2,0.3635,35.6615,0.0108,-0.0966,0.1074
297,-0.0400,0.3853,0.1760,0.0421,267.8,-0.3887,232.2,0.3635,35.6615,0.0108,-0.0966,0.1074
298,-0.0400,0.3853,0.1760,0.0421,267.8,-0.3887,232.2,0.3635,35.6615,0.0108,-0.0966,0.1074
299,-0.0400,0.3853,0.1760,0.0421,267.8,-0.3888,232.2,0.3635,35.6615,0.0108,-0.0966,0.1074
