step,community_0,community_1,community_2,community_4,community_5,community_6,community_7,community_10,community_12,community_13,community_14,community_16,community_17,community_22,community_30,community_31,community_32,community_36,community_42,community_45,community_46,community_53,community_55,community_60,community_86,community_156
10,0.0011,0.0006,0.0003,0.0015,0.0007,0.0012,0.0013,0.0008,0.0014,0.0006,0.0009,0.0033,0.0090,0.0008,0.0003,0.0009,0.0013,0.0006,0.0007,0.0011,0.0013,0.0016,0.0012,0.0010,0.0011,0.0006
11,0.0010,0.0006,0.0002,0.0015,0.0007,0.0011,0.0012,0.0007,0.0013,0.0005,0.0008,0.0035,0.0100,0.0008,0.0003,0.0008,0.0012,0.0005,0.0007,0.0011,0.0012,0.0015,0.0011,0.0009,0.0010,0.0005
12,0.0009,0.0005,0.0002,0.0016,0.0006,0.0010,0.0012,0.0006,0.0012,0.0005,0.0007,0.0037,0.0109,0.0007,0.0002,0.0007,0.0011,0.0004,0.0006,0.0011,0.0011,0.0013,0.0010,0.0007,0.0009,0.0005
13,0.0008,0.0005,0.0002,0.0016,0.0006,0.0009,0.0011,0.0006,0.0011,0.0004,0.0007,0.0038,0.0118,0.0006,0.0002,0.0006,0.0009,0.0004,0.0005,0.0011,0.0010,0.0012,0.0009,0.0006,0.0008,0.0005
14,0.0007,0.0004,0.0002,0.0017,0.0005,0.0008,0.0011,0.0005,0.0010,0.0004,0.0006,0.0040,0.0127,0.0006,0.0002,0.0006,0.0009,0.0003,0.0005,0.0011,0.0009,0.0011,0.0008,0.0005,0.0007,0.0004
15,0.0006,0.0004,0.0002,0.0018,0.0005,0.0007,0.0011,0.0004,0.0010,0.0003,0.0005,0.0042,0.0135,0.0005,0.0002,0.0005,0.0008,0.0003,0.0005,0.0012,0.0008,0.0011,0.0007,0.0005,0.0006,0.0004
16,0.0006,0.0004,0.0001,0.0019,0.0005,0.0007,0.0011,0.0004,0.0009,0.0003,0.0005,0.0043,0.0143,0.0005,0.0002,0.0005,0.0007,0.0002,0.0004,0.0013,0.0007,0.0010,0.0007,0.0004,0.0006,0.0004
17,0.0005,0.0004,0.0001,0.0019,0.0004,0.0006,0.0011,0.0004,0.0009,0.0003,0.0005,0.0045,0.0151,0.0004,0.0001,0.0004,0.0006,0.0002,0.0004,0.0014,0.0006,0.0009,0.0006,0.0004,0.0005,0.0004
18,0.0005,0.0003,0.0001,0.0020,0.0004,0.0006,0.0011,0.0003,0.0009,0.0002,0.0004,0.0047,0.0158,0.0004,0.0001,0.0004,0.0006,0.0002,0.0003,0.0015,0.0006,0.0009,0.0005,0.0003,0.0005,0.0003
19,0.0004,0.0003,0.0001,0.0021,0.0004,0.0006,0.0012,0.0003,0.0008,0.0002,0.0004,0.0049,0.0165,0.0004,0.0001,0.0004,0.0005,0.0002,0.0003,0.0016,0.0005,0.0008,0.0005,0.0003,0.0004,0.0003
20,0.0004,0.0003,0.0001,0.0022,0.0004,0.0005,0.0012,0.0003,0.0008,0.0002,0.0004,0.0050,0.0171,0.0004,0.0001,0.0004,0.0005,0.0001,0.0003,0.0017,0.0005,0.0008,0.0005,0.0002,0.0004,0.0003
21,0.0004,0.0003,0.0001,0.0023,0.0004,0.0005,0.0012,0.0002,0.0008,0.0002,0.0003,0.0052,0.0176,0.0003,0.0001,0.0003,0.0005,0.0001,0.0003,0.0019,0.0004,0.0007,0.0004,0.0002,0.0004,0.0003
22,0.0004,0.0003,0.0001,0.0024,0.0003,0.0005,0.0012,0.0002,0.0008,0.0001,0.0003,0.0054,0.0182,0.0003,0.0001,0.0003,0.0004,0.0001,0.0002,0.0021,0.0004,0.0007,0.0004,0.0002,0.0003,0.0003
23,0.0003,0.0003,0.0001,0.0025,0.0003,0.0005,0.0013,0.0002,0.0007,0.0001,0.0003,0.0055,0.0186,0.0003,0.0001,0.0003,0.0004,0.0001,0.0002,0.0023,0.0004,0.0007,0.0004,0.0002,0.0003,0.0003
24,0.0003,0.0003,0.0001,0.0025,0.0003,0.0005,0.0013,0.0002,0.0007,0.0001,0.0003,0.0057,0.0191,0.0003,0.0001,0.0003,0.0004,0.0001,0.0002,0.0025,0.0003,0.0006,0.0003,0.0002,0.0003,0.0003
25,0.0003,0.0003,0.0001,0.0026,0.0003,0.0004,0.0013,0.0002,0.0007,0.0001,0.0002,0.0059,0.0195,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002,0.0027,0.0003,0.0006,0.0003,0.0001,0.0003,0.0003
26,0.0003,0.0003,0.0000,0.0027,0.0003,0.0004,0.0014,0.0002,0.0007,0.0001,0.0002,0.0060,0.0199,0.0003,0.0001,0.0002,0.0003,0.0001,0.0002,0.0030,0.0003,0.0006,0.0003,0.0001,0.0003,0.0002
27,0.0002,0.0003,0.0000,0.0028,0.0003,0.0004,0.0014,0.0002,0.0007,0.0001,0.0002,0.0062,0.0202,0.0003,0.0001,0.0002,0.0003,0.0001,0.0002,0.0032,0.0003,0.0006,0.0003,0.0001,0.0002,0.0002
28,0.0002,0.0003,0.0000,0.0029,0.0003,0.0004,0.0014,0.0002,0.0007,0.0001,0.0002,0.0063,0.0206,0.0003,0.0001,0.0002,0.0003,0.0001,0.0001,0.0035,0.0003,0.0005,0.0002,0.0001,0.0002,0.0002
29,0.0002,0.0003,0.0000,0.0030,0.0004,0.0004,0.0015,0.0001,0.0007,0.0001,0.0002,0.0065,0.0209,0.0003,0.0000,0.0002,0.0003,0.0000,0.0001,0.0039,0.0002,0.0005,0.0002,0.0001,0.0002,0.0002
30,0.0002,0.0003,0.0000,0.0031,0.0004,0.0004,0.0015,0.0001,0.0007,0.0001,0.0002,0.0066,0.0211,0.0003,0.0000,0.0002,0.0003,0.0000,0.0001,0.0042,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002
31,0.0002,0.0003,0.0000,0.0033,0.0004,0.0004,0.0015,0.0001,0.0007,0.0001,0.0002,0.0068,0.0214,0.0003,0.0000,0.0002,0.0003,0.0000,0.0001,0.0046,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002
32,0.0002,0.0003,0.0000,0.0034,0.0004,0.0004,0.0016,0.0001,0.0007,0.0000,0.0002,0.0069,0.0216,0.0003,0.0000,0.0002,0.0003,0.0000,0.0001,0.0049,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002
33,0.0002,0.0003,0.0000,0.0035,0.0004,0.0004,0.0016,0.0001,0.0008,0.0000,0.0002,0.0071,0.0218,0.0003,0.0000,0.0002,0.0002,0.0000,0.0001,0.0053,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002
34,0.0002,0.0003,0.0000,0.0036,0.0004,0.0004,0.0017,0.0001,0.0008,0.0000,0.0002,0.0072,0.0220,0.0003,0.0000,0.0002,0.0002,0.0000,0.0001,0.0057,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002
35,0.0002,0.0003,0.0000,0.0037,0.0004,0.0004,0.0017,0.0001,0.0008,0.0000,0.0002,0.0073,0.0222,0.0003,0.0000,0.0002,0.0002,0.0000,0.0001,0.0062,0.0002,0.0005,0.0002,0.0002,0.0001,0.0002
36,0.0001,0.0003,0.0000,0.0038,0.0005,0.0004,0.0017,0.0001,0.0008,0.0000,0.0002,0.0075,0.0224,0.0004,0.0000,0.0001,0.0002,0.0000,0.0001,0.0066,0.0002,0.0005,0.0002,0.0002,0.0001,0.0002
37,0.0001,0.0003,0.0000,0.0039,0.0005,0.0005,0.0018,0.0001,0.0008,0.0000,0.0001,0.0076,0.0225,0.0004,0.0000,0.0001,0.0002,0.0000,0.0001,0.0071,0.0002,0.0005,0.0002,0.0003,0.0001,0.0002
38,0.0001,0.0004,0.0000,0.0040,0.0005,0.0005,0.0018,0.0001,0.0008,0.0000,0.0001,0.0077,0.0226,0.0004,0.0000,0.0001,0.0002,0.0000,0.0001,0.0075,0.0002,0.0005,0.0002,0.0003,0.0001,0.0002
39,0.0001,0.0004,0.0000,0.0042,0.0005,0.0005,0.0019,0.0001,0.0008,0.0000,0.0001,0.0078,0.0228,0.0004,0.0000,0.0001,0.0002,0.0000,0.0001,0.0080,0.0002,0.0005,0.0001,0.0003,0.0001,0.0002
40,0.0001,0.0004,0.0000,0.0043,0.0006,0.0005,0.0019,0.0001,0.0008,0.0000,0.0001,0.0079,0.0229,0.0005,0.0000,0.0001,0.0002,0.0000,0.0001,0.0085,0.0001,0.0005,0.0001,0.0003,0.0001,0.0002
41,0.0001,0.0004,0.0000,0.0044,0.0006,0.0005,0.0019,0.0001,0.0009,0.0000,0.0001,0.0081,0.0230,0.0005,0.0000,0.0001,0.0002,0.0000,0.0001,0.0090,0.0001,0.0005,0.0001,0.0003,0.0001,0.0002
42,0.0001,0.0004,0.0000,0.0045,0.0006,0.0005,0.0020,0.0001,0.0009,0.0000,0.0002,0.0082,0.0231,0.0005,0.0000,0.0001,0.0002,0.0000,0.0000,0.0094,0.0001,0.0005,0.0001,0.0004,0.0001,0.0002
43,0.0001,0.0004,0.0000,0.0047,0.0007,0.0005,0.0020,0.0001,0.0009,0.0000,0.0002,0.0083,0.0231,0.0006,0.0000,0.0001,0.0002,0.0000,0.0000,0.0099,0.0001,0.0005,0.0002,0.0004,0.0001,0.0001
44,0.0001,0.0004,0.0000,0.0048,0.0007,0.0005,0.0020,0.0001,0.0009,0.0000,0.0002,0.0084,0.0232,0.0006,0.0000,0.0001,0.0002,0.0000,0.0000,0.0104,0.0001,0.0005,0.0002,0.0004,0.0001,0.0001
45,0.0001,0.0004,0.0000,0.0049,0.0007,0.0005,0.0021,0.0001,0.0009,0.0000,0.0002,0.0085,0.0233,0.0007,0.0000,0.0001,0.0002,0.0000,0.0000,0.0108,0.0001,0.0005,0.0002,0.0004,0.0001,0.0001
46,0.0001,0.0004,0.0000,0.0051,0.0008,0.0005,0.0021,0.0001,0.0009,0.0000,0.0002,0.0086,0.0234,0.0007,0.0000,0.0001,0.0002,0.0000,0.0000,0.0113,0.0001,0.0005,0.0002,0.0005,0.0001,0.0001
47,0.0001,0.0005,0.0000,0.0052,0.0008,0.0005,0.0022,0.0001,0.0010,0.0000,0.0002,0.0087,0.0234,0.0008,0.0000,0.0001,0.0002,0.0000,0.0001,0.0117,0.0001,0.0005,0.0002,0.0005,0.0001,0.0001
48,0.0001,0.0005,0.0000,0.0053,0.0009,0.0005,0.0022,0.0001,0.0010,0.0000,0.0002,0.0088,0.0235,0.0008,0.0000,0.0001,0.0002,0.0001,0.0001,0.0122,0.0001,0.0005,0.0002,0.0005,0.0001,0.0001
49,0.0001,0.0005,0.0000,0.0055,0.0009,0.0006,0.0022,0.0001,0.0010,0.0000,0.0002,0.0089,0.0235,0.0009,0.0000,0.0001,0.0002,0.0001,0.0001,0.0126,0.0001,0.0005,0.0002,0.0006,0.0001,0.0001
50,0.0001,0.0005,0.0000,0.0056,0.0010,0.0006,0.0023,0.0001,0.0010,0.0000,0.0002,0.0090,0.0236,0.0009,0.0000,0.0001,0.0002,0.0001,0.0001,0.0130,0.0001,0.0005,0.0002,0.0006,0.0001,0.0001
51,0.0001,0.0005,0.0000,0.0058,0.0010,0.0006,0.0023,0.0001,0.0010,0.0000,0.0002,0.0091,0.0236,0.0010,0.0000,0.0001,0.0002,0.0001,0.0001,0.0134,0.0001,0.0005,0.0002,0.0006,0.0001,0.0001
52,0.0001,0.0005,0.0000,0.0059,0.0011,0.0006,0.0024,0.0001,0.0011,0.0000,0.0002,0.0092,0.0236,0.0010,0.0000,0.0001,0.0002,0.0001,0.0001,0.0138,0.0001,0.0005,0.0002,0.0006,0.0001,0.0001
53,0.0001,0.0006,0.0000,0.0060,0.0011,0.0006,0.0024,0.0001,0.0011,0.0000,0.0002,0.0092,0.0237,0.0011,0.0000,0.0001,0.0002,0.0001,0.0001,0.0141,0.0001,0.0005,0.0002,0.0007,0.0001,0.0001
54,0.0002,0.0006,0.0000,0.0062,0.0012,0.0006,0.0024,0.0001,0.0011,0.0000,0.0003,0.0093,0.0237,0.0012,0.0000,0.0001,0.0002,0.0001,0.0001,0.0145,0.0001,0.0005,0.0003,0.0007,0.0001,0.0001
55,0.0002,0.0006,0.0000,0.0063,0.0012,0.0006,0.0025,0.0001,0.0011,0.0000,0.0003,0.0094,0.0237,0.0012,0.0000,0.0001,0.0002,0.0001,0.0001,0.0148,0.0001,0.0005,0.0003,0.0007,0.0001,0.0001
56,0.0002,0.0006,0.0000,0.0064,0.0013,0.0006,0.0025,0.0001,0.0011,0.0000,0.0003,0.0095,0.0237,0.0013,0.0000,0.0001,0.0003,0.0001,0.0001,0.0151,0.0001,0.0006,0.0003,0.0008,0.0001,0.0001
57,0.0002,0.0006,0.0000,0.0066,0.0013,0.0006,0.0025,0.0001,0.0011,0.0000,0.0003,0.0096,0.0237,0.0013,0.0000,0.0001,0.0003,0.0001,0.0001,0.0154,0.0001,0.0006,0.0003,0.0008,0.0001,0.0001
58,0.0002,0.0006,0.0000,0.0067,0.0014,0.0006,0.0026,0.0001,0.0012,0.0000,0.0003,0.0096,0.0238,0.0014,0.0000,0.0001,0.0003,0.0001,0.0001,0.0156,0.0001,0.0006,0.0003,0.0008,0.0000,0.0001
59,0.0002,0.0007,0.0000,0.0068,0.0014,0.0006,0.0026,0.0001,0.0012,0.0000,0.0003,0.0097,0.0238,0.0015,0.0000,0.0001,0.0003,0.0001,0.0002,0.0159,0.0001,0.0006,0.0004,0.0008,0.0000,0.0001
60,0.0002,0.0007,0.0000,0.0070,0.0015,0.0007,0.0027,0.0001,0.0012,0.0000,0.0004,0.0098,0.0238,0.0015,0.0000,0.0001,0.0003,0.0001,0.0002,0.0161,0.0001,0.0006,0.0004,0.0009,0.0000,0.0001
61,0.0002,0.0007,0.0000,0.0071,0.0015,0.0007,0.0027,0.0001,0.0012,0.0000,0.0004,0.0099,0.0238,0.0016,0.0000,0.0001,0.0003,0.0001,0.0002,0.0164,0.0001,0.0006,0.0004,0.0009,0.0000,0.0001
62,0.0002,0.0007,0.0000,0.0072,0.0016,0.0007,0.0027,0.0001,0.0012,0.0000,0.0004,0.0099,0.0238,0.0017,0.0000,0.0001,0.0003,0.0001,0.0002,0.0166,0.0001,0.0006,0.0004,0.0009,0.0000,0.0001
63,0.0002,0.0008,0.0000,0.0074,0.0016,0.0007,0.0028,0.0001,0.0012,0.0000,0.0004,0.0100,0.0238,0.0018,0.0000,0.0001,0.0003,0.0002,0.0002,0.0168,0.0001,0.0006,0.0005,0.0010,0.0000,0.0001
64,0.0002,0.0008,0.0000,0.0075,0.0017,0.0007,0.0028,0.0001,0.0013,0.0000,0.0004,0.0101,0.0238,0.0018,0.0000,0.0001,0.0003,0.0002,0.0002,0.0169,0.0001,0.0007,0.0005,0.0010,0.0000,0.0001
65,0.0003,0.0008,0.0000,0.0076,0.0017,0.0007,0.0029,0.0001,0.0013,0.0000,0.0004,0.0101,0.0238,0.0019,0.0000,0.0001,0.0003,0.0002,0.0003,0.0171,0.0002,0.0007,0.0005,0.0011,0.0000,0.0001
66,0.0003,0.0008,0.0000,0.0077,0.0018,0.0007,0.0029,0.0001,0.0013,0.0000,0.0005,0.0102,0.0238,0.0020,0.0000,0.0001,0.0003,0.0002,0.0003,0.0172,0.0002,0.0007,0.0005,0.0011,0.0000,0.0001
67,0.0003,0.0008,0.0000,0.0079,0.0019,0.0007,0.0030,0.0001,0.0013,0.0000,0.0005,0.0103,0.0238,0.0020,0.0000,0.0001,0.0003,0.0002,0.0003,0.0174,0.0002,0.0007,0.0006,0.0011,0.0000,0.0001
68,0.0003,0.0009,0.0000,0.0080,0.0019,0.0007,0.0030,0.0001,0.0013,0.0000,0.0005,0.0103,0.0238,0.0021,0.0000,0.0001,0.0003,0.0002,0.0003,0.0175,0.0002,0.0007,0.0006,0.0012,0.0000,0.0001
69,0.0003,0.0009,0.0000,0.0081,0.0020,0.0007,0.0031,0.0001,0.0013,0.0000,0.0005,0.0104,0.0238,0.0022,0.0000,0.0001,0.0003,0.0002,0.0004,0.0176,0.0002,0.0007,0.0006,0.0012,0.0000,0.0001
70,0.0003,0.0009,0.0000,0.0082,0.0020,0.0007,0.0031,0.0001,0.0013,0.0000,0.0006,0.0104,0.0238,0.0022,0.0000,0.0001,0.0003,0.0002,0.0004,0.0177,0.0002,0.0008,0.0007,0.0012,0.0000,0.0001
71,0.0003,0.0010,0.0000,0.0083,0.0021,0.0007,0.0031,0.0001,0.0014,0.0000,0.0006,0.0105,0.0238,0.0023,0.0000,0.0001,0.0003,0.0003,0.0004,0.0178,0.0002,0.0008,0.0007,0.0013,0.0000,0.0001
72,0.0004,0.0010,0.0000,0.0084,0.0021,0.0008,0.0032,0.0001,0.0014,0.0000,0.0006,0.0105,0.0238,0.0024,0.0000,0.0001,0.0003,0.0003,0.0005,0.0179,0.0002,0.0008,0.0007,0.0013,0.0000,0.0001
73,0.0004,0.0010,0.0000,0.0085,0.0022,0.0008,0.0032,0.0001,0.0014,0.0000,0.0006,0.0106,0.0237,0.0024,0.0000,0.0001,0.0003,0.0003,0.0005,0.0180,0.0002,0.0008,0.0008,0.0014,0.0000,0.0001
74,0.0004,0.0010,0.0000,0.0086,0.0022,0.0008,0.0033,0.0001,0.0014,0.0000,0.0006,0.0106,0.0237,0.0025,0.0000,0.0001,0.0003,0.0003,0.0005,0.0180,0.0002,0.0008,0.0008,0.0014,0.0000,0.0001
75,0.0004,0.0011,0.0000,0.0087,0.0023,0.0008,0.0033,0.0001,0.0014,0.0000,0.0007,0.0107,0.0237,0.0026,0.0000,0.0001,0.0004,0.0003,0.0006,0.0181,0.0002,0.0009,0.0009,0.0014,0.0000,0.0001
76,0.0004,0.0011,0.0000,0.0088,0.0023,0.0008,0.0034,0.0001,0.0014,0.0000,0.0007,0.0107,0.0237,0.0026,0.0000,0.0001,0.0004,0.0003,0.0006,0.0181,0.0002,0.0009,0.0009,0.0015,0.0000,0.0001
77,0.0005,0.0011,0.0000,0.0089,0.0024,0.0008,0.0035,0.0001,0.0014,0.0000,0.0007,0.0108,0.0237,0.0027,0.0000,0.0001,0.0004,0.0003,0.0006,0.0182,0.0002,0.0009,0.0009,0.0015,0.0000,0.0001
78,0.0005,0.0012,0.0000,0.0090,0.0024,0.0008,0.0035,0.0001,0.0014,0.0000,0.0007,0.0108,0.0237,0.0027,0.0000,0.0001,0.0004,0.0004,0.0007,0.0182,0.0002,0.0009,0.0010,0.0016,0.0000,0.0001
79,0.0005,0.0012,0.0000,0.0091,0.0025,0.0008,0.0036,0.0001,0.0015,0.0000,0.0007,0.0109,0.0237,0.0028,0.0000,0.0001,0.0004,0.0004,0.0007,0.0183,0.0002,0.0009,0.0010,0.0016,0.0000,0.0001
80,0.0005,0.0012,0.0000,0.0092,0.0025,0.0008,0.0036,0.0001,0.0015,0.0000,0.0008,0.0109,0.0236,0.0029,0.0000,0.0001,0.0004,0.0004,0.0007,0.0183,0.0002,0.0010,0.0011,0.0017,0.0000,0.0001
81,0.0005,0.0013,0.0000,0.0093,0.0026,0.0008,0.0037,0.0001,0.0015,0.0000,0.0008,0.0110,0.0236,0.0029,0.0000,0.0001,0.0004,0.0004,0.0008,0.0183,0.0002,0.0010,0.0011,0.0017,0.0000,0.0001
82,0.0005,0.0013,0.0000,0.0094,0.0026,0.0008,0.0037,0.0001,0.0015,0.0000,0.0008,0.0110,0.0236,0.0030,0.0000,0.0001,0.0004,0.0004,0.0008,0.0183,0.0002,0.0010,0.0012,0.0018,0.0000,0.0001
83,0.0006,0.0013,0.0000,0.0095,0.0027,0.0008,0.0038,0.0001,0.0015,0.0000,0.0008,0.0110,0.0236,0.0030,0.0000,0.0001,0.0004,0.0005,0.0008,0.0183,0.0002,0.0010,0.0012,0.0019,0.0000,0.0001
84,0.0006,0.0014,0.0000,0.0096,0.0027,0.0008,0.0039,0.0001,0.0015,0.0000,0.0009,0.0111,0.0236,0.0031,0.0000,0.0001,0.0004,0.0005,0.0009,0.0184,0.0002,0.0011,0.0013,0.0019,0.0000,0.0001
85,0.0006,0.0014,0.0000,0.0096,0.0028,0.0009,0.0039,0.0001,0.0015,0.0000,0.0009,0.0111,0.0236,0.0032,0.0000,0.0001,0.0004,0.0005,0.0009,0.0184,0.0002,0.0011,0.0013,0.0020,0.0000,0.0001
86,0.0006,0.0014,0.0000,0.0097,0.0028,0.0009,0.0040,0.0001,0.0015,0.0000,0.0009,0.0111,0.0235,0.0032,0.0000,0.0001,0.0004,0.0005,0.0010,0.0184,0.0003,0.0011,0.0014,0.0020,0.0000,0.0001
87,0.0006,0.0015,0.0000,0.0098,0.0028,0.0009,0.0041,0.0001,0.0015,0.0000,0.0009,0.0112,0.0235,0.0033,0.0000,0.0001,0.0004,0.0005,0.0010,0.0184,0.0003,0.0011,0.0014,0.0021,0.0000,0.0001
88,0.0007,0.0015,0.0000,0.0099,0.0029,0.0009,0.0042,0.0001,0.0015,0.0000,0.0009,0.0112,0.0235,0.0033,0.0000,0.0001,0.0004,0.0006,0.0011,0.0184,0.0003,0.0012,0.0015,0.0022,0.0000,0.0001
89,0.0007,0.0016,0.0000,0.0099,0.0029,0.0009,0.0042,0.0001,0.0015,0.0000,0.0010,0.0112,0.0235,0.0034,0.0000,0.0001,0.0004,0.0006,0.0011,0.0184,0.0003,0.0012,0.0015,0.0022,0.0000,0.0001
90,0.0007,0.0016,0.0000,0.0100,0.0030,0.0009,0.0043,0.0001,0.0015,0.0000,0.0010,0.0113,0.0235,0.0034,0.0000,0.0001,0.0005,0.0006,0.0011,0.0184,0.0003,0.0012,0.0016,0.0023,0.0000,0.0001
91,0.0007,0.0016,0.0000,0.0101,0.0030,0.0009,0.0044,0.0001,0.0015,0.0000,0.0010,0.0113,0.0234,0.0035,0.0000,0.0001,0.0005,0.0006,0.0012,0.0184,0.0003,0.0012,0.0016,0.0024,0.0000,0.0000
92,0.0007,0.0017,0.0000,0.0101,0.0031,0.0009,0.0045,0.0001,0.0016,0.0000,0.0010,0.0113,0.0234,0.0035,0.0000,0.0001,0.0005,0.0006,0.0012,0.0183,0.0003,0.0013,0.0017,0.0024,0.0000,0.0000
93,0.0007,0.0017,0.0000,0.0102,0.0031,0.0009,0.0045,0.0001,0.0016,0.0000,0.0010,0.0114,0.0234,0.0036,0.0000,0.0001,0.0005,0.0007,0.0013,0.0183,0.0003,0.0013,0.0018,0.0025,0.0000,0.0000
94,0.0008,0.0018,0.0000,0.0103,0.0032,0.0009,0.0046,0.0001,0.0016,0.0000,0.0010,0.0114,0.0234,0.0036,0.0000,0.0001,0.0005,0.0007,0.0013,0.0183,0.0003,0.0013,0.0018,0.0026,0.0000,0.0000
95,0.0008,0.0018,0.0000,0.0103,0.0032,0.0009,0.0047,0.0001,0.0016,0.0000,0.0011,0.0114,0.0233,0.0037,0.0000,0.0001,0.0005,0.0007,0.0014,0.0183,0.0003,0.0013,0.0019,0.0027,0.0000,0.0000
96,0.0008,0.0018,0.0000,0.0104,0.0032,0.0009,0.0048,0.0001,0.0016,0.0000,0.0011,0.0115,0.0233,0.0038,0.0000,0.0001,0.0005,0.0007,0.0014,0.0183,0.0003,0.0014,0.0020,0.0028,0.0000,0.0000
97,0.0008,0.0019,0.0000,0.0105,0.0033,0.0009,0.0049,0.0001,0.0016,0.0000,0.0011,0.0115,0.0233,0.0038,0.0000,0.0001,0.0005,0.0008,0.0015,0.0183,0.0003,0.0014,0.0020,0.0028,0.0000,0.0000
98,0.0008,0.0019,0.0000,0.0105,0.0033,0.0010,0.0050,0.0001,0.0016,0.0000,0.0011,0.0115,0.0233,0.0039,0.0000,0.0001,0.0005,0.0008,0.0015,0.0183,0.0004,0.0014,0.0021,0.0029,0.0000,0.0000
99,0.0009,0.0020,0.0000,0.0106,0.0034,0.0010,0.0051,0.0001,0.0016,0.0000,0.0011,0.0115,0.0232,0.0039,0.0000,0.0001,0.0005,0.0008,0.0016,0.0183,0.0004,0.0014,0.0022,0.0030,0.0000,0.0000
100,0.0009,0.0020,0.0000,0.0106,0.0034,0.0010,0.0052,0.0001,0.0016,0.0000,0.0011,0.0115,0.0232,0.0040,0.0000,0.0001,0.0005,0.0008,0.0016,0.0182,0.0004,0.0015,0.0023,0.0031,0.0000,0.0000
101,0.0009,0.0021,0.0000,0.0107,0.0035,0.0010,0.0053,0.0001,0.0016,0.0000,0.0012,0.0116,0.0232,0.0040,0.0000,0.0001,0.0006,0.0009,0.0017,0.0182,0.0004,0.0015,0.0023,0.0032,0.0000,0.0000
102,0.0009,0.0021,0.0000,0.0108,0.0035,0.0010,0.0054,0.0001,0.0016,0.0000,0.0012,0.0116,0.0232,0.0041,0.0000,0.0001,0.0006,0.0009,0.0017,0.0182,0.0004,0.0015,0.0024,0.0033,0.0000,0.0000
103,0.0009,0.0021,0.0000,0.0108,0.0035,0.0010,0.0055,0.0001,0.0016,0.0000,0.0012,0.0116,0.0231,0.0041,0.0000,0.0001,0.0006,0.0009,0.0018,0.0182,0.0004,0.0016,0.0025,0.0034,0.0000,0.0000
